bugtest,angle,count,time,delta,change,struggling,halfrep
NaN,181.4020485102478,2.0,17.42867684364319,neutral,False,False,False
NaN,182.83671988987203,2.0,17.495665073394775,neutral,False,False,False
NaN,184.22801709416538,2.0,17.561988830566406,neutral,False,False,False
NaN,184.65626142415385,2.0,17.62876605987549,neutral,False,False,False
NaN,182.7938127312376,2.0,17.695751905441284,neutral,False,False,False
NaN,182.15869986315997,2.0,17.76256012916565,neutral,False,False,False
NaN,182.28953195131376,2.0,17.829020977020264,neutral,False,False,False
NaN,185.1558672573679,2.0,17.895271062850952,neutral,False,False,False
NaN,186.07085769219157,2.0,17.962481021881104,neutral,False,False,False
NaN,194.693440286754,2.0,18.02900791168213,neutral,False,False,False
NaN,200.9275715620462,2.0,18.09551501274109,neutral,False,False,False
NaN,205.8577318085337,2.0,18.16485619544983,neutral,False,False,False
NaN,228.31372567737463,2.0,18.229063987731934,increasing,False,False,False
NaN,243.28275326850505,2.0,18.29571008682251,neutral,False,False,False
NaN,257.75413882024753,2.0,18.36224102973938,neutral,False,False,False
NaN,269.1399553553807,2.0,18.429737091064453,increasing,False,False,False
NaN,285.34155157894907,2.0,18.49532198905945,increasing,False,False,False
NaN,296.2403245209688,2.0,18.562121152877808,increasing,False,False,False
NaN,305.8237727500683,2.0,18.62903094291687,increasing,False,False,False
NaN,312.7066268556786,2.5,18.69551110267639,increasing,False,False,False
NaN,317.5893738050478,2.5,18.762797832489014,increasing,False,False,False
NaN,319.4141845656322,2.5,18.82824993133545,increasing,False,False,False
NaN,319.58028892569905,2.5,18.895015954971313,neutral,False,False,False
NaN,318.5728039246572,2.5,18.961710929870605,neutral,False,False,False
NaN,315.71619708875323,2.5,19.028051137924194,neutral,False,False,False
NaN,312.1617517495867,2.5,19.094719171524048,neutral,False,False,False
NaN,309.15516768696966,2.5,19.161297082901,neutral,False,False,False
NaN,298.48278446448825,2.5,19.228182077407837,neutral,False,False,False
NaN,287.54509674945524,2.5,19.294706106185913,neutral,False,False,False
NaN,268.9825109898363,2.5,19.36121106147766,neutral,False,False,False
NaN,254.51832623354414,2.5,19.428045988082886,decreasing,False,False,False
NaN,241.7734533405797,2.5,19.494653940200806,decreasing,False,False,False
NaN,221.88813727263883,2.5,19.560922861099243,decreasing,False,False,False
NaN,202.6162372648517,3.0,19.628103017807007,decreasing,False,False,False
NaN,185.23450881583727,3.0,19.69507598876953,decreasing,False,False,False
1,171.9751239361938,3.0,19.761773109436035,decreasing,True,False,False
2,171.31410546640785,3.0,19.82840895652771,decreasing,False,False,False
3,167.09610636135656,3.0,19.894505977630615,half rep,False,False,True
3,154.53543125300672,3.0,19.961468935012817,half rep,False,False,True
NaN,164.29614695545405,3.0,20.0276939868927,neutral,False,False,False
NaN,172.30455483377008,3.0,20.094417095184326,neutral,False,False,False
NaN,164.96860563674457,3.0,20.161134004592896,neutral,False,False,False
NaN,165.850019496911,3.0,20.227685928344727,increasing,False,False,False
NaN,162.7885941473018,3.0,20.29437017440796,neutral,False,False,False
NaN,170.03236716096436,3.0,20.361515045166016,neutral,False,False,False
NaN,170.6211322994535,3.0,20.427683115005493,neutral,False,False,False
NaN,170.0809436349597,3.0,20.494096994400024,neutral,False,False,False
NaN,171.73032600752003,3.0,20.561005115509033,neutral,False,False,False
NaN,174.58076597727353,3.0,20.629091262817383,neutral,False,False,False
NaN,173.70826951815158,3.0,20.694371223449707,neutral,False,False,False
NaN,176.04520176758734,3.0,20.809892892837524,neutral,False,False,False
NaN,173.42393703804413,3.0,20.9145450592041,neutral,False,False,False
NaN,169.15521913163036,3.0,20.998673915863037,neutral,False,False,False
NaN,160.01145824469793,3.0,21.064547061920166,neutral,False,False,False
NaN,164.3380352297444,3.0,21.13102388381958,neutral,False,False,False
NaN,170.23356037611063,3.0,21.198122024536133,neutral,False,False,False
NaN,172.62597374170855,3.0,21.264429807662964,neutral,False,False,False
NaN,176.83443791393432,3.0,21.330559015274048,neutral,False,False,False
NaN,179.41556060921107,3.0,21.396106004714966,neutral,False,False,False
NaN,179.3317029603242,3.0,21.462712049484253,neutral,False,False,False
NaN,181.81922179898766,3.0,21.52817392349243,neutral,False,False,False
NaN,184.7963955260382,3.0,21.596657037734985,neutral,False,False,False
NaN,190.13083876147056,3.0,21.663042068481445,neutral,False,False,False
NaN,209.13158585581232,3.0,21.730860233306885,neutral,False,False,False
NaN,220.11594114804848,3.0,21.796794891357422,neutral,False,False,False
NaN,238.6790710568469,3.0,21.864099264144897,increasing,False,False,False
NaN,255.02781450678242,3.0,21.93010115623474,increasing,False,False,False
NaN,268.93426796998943,3.0,21.996291875839233,increasing,False,False,False
NaN,283.2614619062688,3.0,22.0631160736084,increasing,False,False,False
NaN,291.4299597512472,3.0,22.129951000213623,increasing,False,False,False
NaN,297.8659728184386,3.0,22.196020126342773,increasing,False,False,False
NaN,300.3303127170996,3.0,22.263679027557373,increasing,False,False,False
NaN,302.1680142027249,3.0,22.329816818237305,increasing,False,False,False
NaN,302.61380088224325,3.0,22.39586305618286,neutral,False,False,False
NaN,303.22614616158853,3.0,22.46319007873535,neutral,False,False,False
NaN,303.6227705379855,3.0,22.528251886367798,neutral,False,False,False
NaN,303.54265324660525,3.0,22.5969181060791,neutral,False,False,False
NaN,303.69102640301537,3.0,22.661850929260254,neutral,False,False,False
NaN,302.6651977040882,3.0,22.729487895965576,neutral,False,False,False
NaN,302.1048513369545,3.0,22.796192169189453,neutral,False,False,False
NaN,302.08498167922045,3.0,22.863274097442627,neutral,False,False,False
NaN,301.6514128053291,3.0,22.928740978240967,neutral,False,False,False
NaN,300.81635524648607,3.0,22.99551224708557,neutral,False,False,False
NaN,300.1735469345281,3.0,23.06311798095703,neutral,False,False,False
NaN,295.74582018458796,3.0,23.129870891571045,neutral,False,False,False
NaN,289.00838919245854,3.0,23.196320056915283,neutral,False,False,False
NaN,281.4761436281929,3.0,23.262658834457397,neutral,False,False,False
NaN,273.41052194627025,3.0,23.32964515686035,neutral,False,False,False
NaN,265.88099060950344,3.0,23.395915031433105,decreasing,False,False,False
