bugtest,angle,count,time,delta,change,struggling,halfrep
NaN,149.65122973366894,13.0,28.36675500869751,neutral,False,False,False
NaN,159.50204425847633,13.0,28.476587057113647,neutral,False,False,False
NaN,358.33334550670804,13.5,28.56692600250244,neutral,False,False,False
NaN,356.80099903909803,13.5,28.62725806236267,neutral,False,False,False
NaN,339.70979522988733,13.5,28.692464113235474,increasing,False,False,False
NaN,340.6395497411652,13.5,28.75934624671936,neutral,False,False,False
NaN,344.3035806602283,13.5,28.825457096099854,neutral,False,False,False
NaN,341.40366020809444,13.5,28.892061233520508,neutral,False,False,False
NaN,50.882988186886976,14.0,28.959867000579834,neutral,False,False,False
NaN,147.30872372368844,14.0,29.025583028793335,neutral,False,False,False
NaN,13.753656820565107,14.0,29.093398094177246,neutral,True,False,False
NaN,76.69753103178705,14.0,29.160327196121216,neutral,False,False,False
NaN,18.57749549093487,14.0,29.232971906661987,neutral,False,False,False
NaN,11.87660832750306,14.0,29.29343605041504,neutral,False,False,False
NaN,50.33354978098393,14.0,29.3592529296875,neutral,False,False,False
NaN,100.71638723185329,14.0,29.426310062408447,decreasing,False,False,False
NaN,0.08621085807046935,14.0,29.493020057678223,neutral,False,False,False
1,119.74488129694222,14.0,29.56061887741089,increasing,False,False,False
1,142.2039763553217,14.0,29.62677025794983,neutral,False,False,False
1,60.062892881551775,14.0,29.693397998809814,neutral,False,False,False
1,4.928244865881447,14.0,29.758920907974243,increasing,False,False,False
1,71.2580135688365,14.0,29.825594186782837,neutral,False,False,False
1,352.7174498274097,14.5,29.892221212387085,decreasing,False,False,False
1,343.38360942139826,14.5,29.959972143173218,neutral,False,False,False
NaN,348.6037874292965,14.5,30.025142908096313,increasing,False,False,False
NaN,346.57266250923897,14.5,30.091397047042847,neutral,False,False,False
NaN,133.4168513292157,15.0,30.15820002555847,neutral,False,False,False
NaN,127.92041656124297,15.0,30.225895166397095,neutral,False,False,False
1,113.86423582074286,15.0,30.292126893997192,neutral,True,False,False
1,14.043518660511742,15.0,30.359138011932373,decreasing,False,False,False
1,68.74683417015741,15.0,30.425183057785034,decreasing,False,False,False
2,143.60741661853228,15.0,30.493080139160156,decreasing,False,False,False
3,128.71908118891838,15.0,30.55869698524475,neutral,False,False,False
4,94.26136784479117,15.0,30.625509023666382,increasing,False,False,False
4,0.3711688799802998,15.0,30.69211483001709,neutral,False,False,False
4,359.75618964389594,15.5,30.758518934249878,decreasing,False,False,False
4,344.3175365773467,15.5,30.825831174850464,decreasing,False,False,False
NaN,339.9327525109529,15.5,30.89161491394043,neutral,False,False,False
NaN,341.25087237787534,15.5,30.957979202270508,neutral,False,False,False
NaN,342.3507099740526,15.5,31.024869203567505,neutral,False,False,False
NaN,89.22523836212386,16.0,31.10584020614624,neutral,False,False,False
NaN,356.2494062918707,16.5,31.192662954330444,neutral,False,False,False
3,357.839076578758,16.5,31.259487867355347,neutral,True,False,False
NaN,357.97926015679224,16.5,31.324743032455444,neutral,False,False,False
NaN,124.23884807133292,17.0,31.39170002937317,neutral,False,False,False
